과밀지수(밀집도),관리년월,대분류명,상권명칭,상권번호,중분류명
1.7186,2017-01,소매,역삼역_2,1916,가전제품소매
0.9670,2017-01,소매,강원도삼척의료원,2483,가전제품소매
0.6155,2017-01,소매,서울 관악구 신림역_2,1823,가전제품소매
1.5208,2017-01,소매,전북 군산시 수송동_3,1057,가전제품소매
0.9800,2017-01,소매,시흥시평생학습센터앞,1718,가전제품소매
0.8966,2017-01,소매,상동역_2,1947,가전제품소매
0.5936,2017-01,소매,경기 고양시 주엽역_2,2350,가전제품소매
0.4152,2017-01,소매,상무역,328,가전제품소매
3.0357,2017-01,소매,덕양구청,2311,가전제품소매
1.6425,2017-01,소매,한남오거리,2081,가전제품소매
0.6445,2017-01,소매,세종시 세종특별자치 조치원읍_2,1281,가전제품소매
0.8134,2017-01,소매,경기 안양시 평촌역,1648,가전제품소매
0.8246,2017-01,소매,경남 창원시 동서동_1,487,가전제품소매
0.8018,2017-01,소매,수지구청_3,1576,가전제품소매
2.7459,2017-01,소매,울산 남구 무거동_1,689,가전제품소매
0.3142,2017-01,소매,경기 안양시 평촌역,1648,가전제품소매
0.4536,2017-01,소매,정발산역_3,2343,가전제품소매
0.9508,2017-01,소매,서울 관악구 사당역,1799,가전제품소매
1.2100,2017-01,소매,대전문화예술의전당,1244,가전제품소매
1.7471,2017-01,소매,충남 태안군 태안읍_1,1327,가전제품소매
0.6155,2017-01,소매,온양온천역_1,1332,가전제품소매
1.2747,2017-01,소매,당산역_1,2088,가전제품소매
2.6944,2017-01,소매,종로구청,2237,가전제품소매
1.1197,2017-01,소매,평택역_1,1427,가전제품소매
1.8563,2017-01,소매,방배동카페골목,1886,가전제품소매
0.6319,2017-01,소매,부산 부산진구 서면역_5,385,가전제품소매
2.0624,2017-01,소매,서울 강북구 수유역_3,2313,가전제품소매
0.8055,2017-01,소매,무안버스터미널,203,가전제품소매
0.8023,2017-01,소매,송호고등학교앞,1561,가전제품소매
0.5766,2017-01,소매,전북 군산시 중앙동_1,1067,가전제품소매
1.0881,2017-01,소매,완도버스터미널,29,가전제품소매
0.2748,2017-01,소매,중앙로역_2,1207,가전제품소매
0.3966,2017-01,소매,법원사거리,2400,가전제품소매
0.7863,2017-01,소매,대전 유성구 구즉동_1,1251,가전제품소매
0.1192,2017-01,소매,부산 동구 범일동역_2,320,가전제품소매
1.4013,2017-01,소매,서동역,506,가전제품소매
3.0715,2017-01,소매,경북 안동시 옥동_1,1273,가전제품소매
2.1961,2017-01,소매,서울 중랑구 사가정역,2250,가전제품소매
1.2221,2017-01,소매,부산 금정구 구서동역,573,가전제품소매
0.3701,2017-01,소매,전남 목포시 용당1동_2,110,가전제품소매
