시도,시군구,업종대분류,분류,업종중분류,1년 미만,1~2년,2~3년,3~5년,5년 이상,합계,평균
제주특별자치도,서귀포시,관광/여가/오락,기타,경마/경륜/성인오락,9,0,1,2,3,15,2.0
제주특별자치도,서귀포시,관광/여가/오락,기타,PC/오락/당구/볼링등,3,2,8,5,21,39,3.83
제주특별자치도,서귀포시,관광/여가/오락,기타,놀이/여가/취미,3,4,4,4,22,37,3.88
제주특별자치도,서귀포시,부동산,기타,부동산중개,53,5,13,12,49,132,2.72
제주특별자치도,서귀포시,부동산,기타,분양,1,0,6,1,2,10,2.95
제주특별자치도,서귀포시,부동산,기타,평가/개발/관리,0,0,2,2,19,23,4.7
제주특별자치도,서귀포시,부동산,기타,부동산관련서비스,0,0,1,1,44,46,4.92
제주특별자치도,서귀포시,부동산,기타,부동산임대,1,1,2,2,2,8,3.12
제주특별자치도,서귀포시,생활서비스,기타,행사/이벤트,0,0,0,0,4,4,5.0
제주특별자치도,서귀포시,생활서비스,기타,법무세무회계,0,0,3,1,13,17,4.5
제주특별자치도,서귀포시,생활서비스,기타,광고/인쇄,1,0,2,1,21,25,4.58
제주특별자치도,서귀포시,생활서비스,기타,대행업,0,0,2,0,0,2,2.5
제주특별자치도,서귀포시,생활서비스,기타,기타서비스업,0,0,1,0,2,3,4.17
제주특별자치도,서귀포시,생활서비스,기타,운송/배달/택배,18,6,3,8,31,66,3.22
제주특별자치도,서귀포시,생활서비스,기타,주택수리,8,1,0,2,22,33,3.74
제주특별자치도,서귀포시,생활서비스,기타,이/미용/건강,90,48,79,129,185,531,3.31
제주특별자치도,서귀포시,생활서비스,기타,개인서비스,0,0,1,0,4,5,4.5
제주특별자치도,서귀포시,생활서비스,기타,인력/고용/용역알선,3,0,2,1,7,13,3.5
제주특별자치도,서귀포시,생활서비스,기타,세탁/가사서비스,33,10,17,26,107,193,3.69
제주특별자치도,서귀포시,생활서비스,기타,주유소/충전소,0,0,6,37,19,62,4.16
제주특별자치도,서귀포시,생활서비스,기타,물품기기대여,5,2,1,2,19,29,3.83
제주특별자치도,서귀포시,생활서비스,기타,예식/의례/관혼상제,7,0,2,1,0,10,1.25
제주특별자치도,서귀포시,생활서비스,기타,사진,6,4,2,7,10,29,3.17
제주특별자치도,서귀포시,생활서비스,기타,자동차/이륜차,2,1,13,70,82,168,4.32
제주특별자치도,서귀포시,생활서비스,기타,장례/묘지,10,0,0,0,13,23,3.04
제주특별자치도,서귀포시,생활서비스,기타,대중목욕탕/휴게,16,1,3,7,36,63,3.57
제주특별자치도,서귀포시,생활서비스,기타,개인/가정용품수리,4,0,5,1,19,29,3.91
제주특별자치도,서귀포시,소매,기타,가전제품소매,9,0,0,12,10,31,3.31
제주특별자치도,서귀포시,소매,기타,중고품소매/교환,1,0,1,4,15,21,4.48
제주특별자치도,서귀포시,소매,기타,자동차/자동차용품,0,0,7,14,41,62,4.49
제주특별자치도,서귀포시,소매,기타,철물/난방/건설자재소매,12,1,0,14,45,72,4.01
제주특별자치도,서귀포시,소매,기타,가구소매,3,6,0,23,7,39,3.53
제주특별자치도,서귀포시,소매,기타,선물/팬시/기념품,12,3,10,70,56,151,3.94
제주특별자치도,서귀포시,소매,기타,사무/문구/컴퓨터,4,0,2,30,28,64,4.17
제주특별자치도,서귀포시,소매,기타,애견/애완/동물,0,0,0,1,1,2,4.5
제주특별자치도,서귀포시,소매,기타,종합소매점,329,83,64,237,207,920,2.64
제주특별자치도,서귀포시,소매,기타,가정/주방/인테리어,17,1,14,141,89,262,4.02
제주특별자치도,서귀포시,소매,기타,기타판매업,8,3,7,36,110,164,4.39
제주특별자치도,서귀포시,소매,기타,의복의류,12,3,14,173,84,286,4.05
제주특별자치도,서귀포시,소매,기타,가방/신발/액세서리,3,3,8,61,14,89,3.82
제주특별자치도,서귀포시,소매,기타,화장품소매,16,0,7,61,42,126,3.81
