시도,시군구,업종대분류,분류,업종중분류,업종소분류,건수
서울특별시,종로구,학문/교육,학원,보습교습입시,입시,92
서울특별시,종로구,학문/교육,학원,보습교습입시,편입,5
서울특별시,중구,학문/교육,학원,보습교습입시,검정고시,1
서울특별시,중구,학문/교육,학원,어학,어린이영어,6
서울특별시,중구,학문/교육,학원,어학,외국어/어학,33
서울특별시,중구,학문/교육,학원,보습교습입시,입시,70
서울특별시,중랑구,학문/교육,학원,어학,어린이영어,4
서울특별시,중랑구,학문/교육,학원,어학,외국어/어학,84
서울특별시,중랑구,학문/교육,학원,보습교습입시,입시,231
서울특별시,강남구,학문/교육,유아교육,유아교육,놀이방,11
서울특별시,강남구,학문/교육,유아교육,유아교육,실내놀이터-유아,3
서울특별시,강남구,학문/교육,유아교육,유아교육,어린이집,191
서울특별시,강남구,학문/교육,유아교육,유아교육,유아교육기관기타,16
서울특별시,강남구,학문/교육,유아교육,유아교육,유치원,24
서울특별시,강동구,학문/교육,유아교육,유아교육,놀이방,11
서울특별시,강동구,학문/교육,유아교육,유아교육,블럭놀이방,9
서울특별시,강동구,학문/교육,유아교육,유아교육,실내놀이터-유아,6
서울특별시,강동구,학문/교육,유아교육,유아교육,어린이집,244
서울특별시,강동구,학문/교육,유아교육,유아교육,유아교육기관기타,8
서울특별시,강동구,학문/교육,유아교육,유아교육,유치원,18
서울특별시,강북구,학문/교육,유아교육,유아교육,놀이방,5
서울특별시,강북구,학문/교육,유아교육,유아교육,실내놀이터-유아,1
서울특별시,강북구,학문/교육,유아교육,유아교육,어린이집,139
서울특별시,강북구,학문/교육,유아교육,유아교육,유치원,11
서울특별시,강서구,학문/교육,유아교육,유아교육,놀이방,9
서울특별시,강서구,학문/교육,유아교육,유아교육,블럭놀이방,3
서울특별시,강서구,학문/교육,유아교육,유아교육,실내놀이터-유아,9
서울특별시,강서구,학문/교육,유아교육,유아교육,어린이집,312
서울특별시,강서구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,강서구,학문/교육,유아교육,유아교육,유치원,25
서울특별시,관악구,학문/교육,유아교육,유아교육,놀이방,12
서울특별시,관악구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,관악구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,관악구,학문/교육,유아교육,유아교육,어린이집,252
서울특별시,관악구,학문/교육,유아교육,유아교육,유아교육기관기타,3
서울특별시,관악구,학문/교육,유아교육,유아교육,유치원,22
서울특별시,광진구,학문/교육,유아교육,유아교육,놀이방,9
서울특별시,광진구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,광진구,학문/교육,유아교육,유아교육,실내놀이터-유아,12
서울특별시,광진구,학문/교육,유아교육,유아교육,어린이집,205
서울특별시,광진구,학문/교육,유아교육,유아교육,유아교육기관기타,10
서울특별시,광진구,학문/교육,유아교육,유아교육,유치원,22
서울특별시,구로구,학문/교육,유아교육,유아교육,놀이방,4
서울특별시,구로구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,구로구,학문/교육,유아교육,유아교육,실내놀이터-유아,2
서울특별시,구로구,학문/교육,유아교육,유아교육,어린이집,266
서울특별시,구로구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,구로구,학문/교육,유아교육,유아교육,유치원,26
서울특별시,금천구,학문/교육,유아교육,유아교육,놀이방,9
서울특별시,금천구,학문/교육,유아교육,유아교육,동화구연,1
서울특별시,금천구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,금천구,학문/교육,유아교육,유아교육,실내놀이터-유아,7
서울특별시,금천구,학문/교육,유아교육,유아교육,어린이집,140
서울특별시,금천구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,금천구,학문/교육,유아교육,유아교육,유치원,16
서울특별시,노원구,학문/교육,유아교육,유아교육,놀이방,18
서울특별시,노원구,학문/교육,유아교육,유아교육,블럭놀이방,2
서울특별시,노원구,학문/교육,유아교육,유아교육,실내놀이터-유아,3
서울특별시,노원구,학문/교육,유아교육,유아교육,어린이집,368
서울특별시,노원구,학문/교육,유아교육,유아교육,유아교육기관기타,3
서울특별시,노원구,학문/교육,유아교육,유아교육,유치원,42
서울특별시,도봉구,학문/교육,유아교육,유아교육,놀이방,4
서울특별시,도봉구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,도봉구,학문/교육,유아교육,유아교육,어린이집,223
서울특별시,도봉구,학문/교육,유아교육,유아교육,유아교육기관기타,4
서울특별시,도봉구,학문/교육,유아교육,유아교육,유치원,24
서울특별시,동대문구,학문/교육,유아교육,유아교육,놀이방,6
서울특별시,동대문구,학문/교육,유아교육,유아교육,실내놀이터-유아,4
서울특별시,동대문구,학문/교육,유아교육,유아교육,어린이집,164
서울특별시,동대문구,학문/교육,유아교육,유아교육,유아교육기관기타,5
서울특별시,동대문구,학문/교육,유아교육,유아교육,유치원,22
